table,status,exists,required_cols,missing_cols,rows,completeness_score,details
patient,Complete,TRUE,5,0,125000,1.000,All requirements met
hospitalization,Complete,TRUE,5,0,145000,1.000,All requirements met
adt,Complete,TRUE,5,0,890000,1.000,All requirements met
vitals,In progress,TRUE,4,1,2500000,0.750,Missing categories: weight_kg
labs,In progress,TRUE,5,0,1800000,0.750,Missing categories: po2_arterial
medication_admin_continuous,Complete,TRUE,6,0,450000,1.000,All requirements met
respiratory_support,Complete,TRUE,12,0,78000,1.000,All requirements met
patient_assessments,In progress,TRUE,4,0,95000,0.750,Missing categories: gcs_total
microbiology_culture,In progress,TRUE,2,0,25000,0.500,Partial data available
microbiology_nonculture,Not started,FALSE,2,2,0,0.000,Table file not found
position,Complete,TRUE,2,0,120000,1.000,All requirements met
sensitivity,Not started,FALSE,2,2,0,0.000,Table file not found
medication_orders,Not started,FALSE,2,2,0,0.000,Table file not found
medication_admin_intermittent,In progress,TRUE,2,0,180000,0.500,Partial data available
hospital_diagnosis,Not started,FALSE,2,2,0,0.000,Table file not found
provider,Complete,TRUE,2,0,95000,1.000,All requirements met
intake_output,Not started,FALSE,2,2,0,0.000,Table file not found
patient_procedures,In progress,TRUE,2,0,45000,0.500,Partial data available
crrt_therapy,In progress,TRUE,2,0,8500,0.500,Partial data available
ecmo_mcs,Not started,FALSE,2,2,0,0.000,Table file not found
transfusion,In progress,TRUE,2,0,15000,0.500,Partial data available
code_status,In progress,TRUE,2,0,12000,0.500,Partial data available
